OID_,FOD_ID,FPA_ID,SOURCE_SYS,SOURCE_S_1,NWCG_REPOR,NWCG_REP_1,NWCG_REP_2,SOURCE_REP,SOURCE_R_1,LOCAL_FIRE,LOCAL_INCI,FIRE_CODE,FIRE_NAME,ICS_209_IN,ICS_209_NA,MTBS_ID,MTBS_FIRE_,COMPLEX_NA,FIRE_YEAR,DISCOVERY_,DISCOVERY1,DISCOVER_1,STAT_CAUSE,STAT_CAU_1,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESC,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1896,201504305,W-646902,FED,DOI-WFMI,BIA,USMTCRA,Crow Agency,MTCRA,Crow Agency,98, ,G48G,EAST FORK,MT-CRA-094,Sarpy Hills Complex,MT4574610716620120731,SARPY HILLS COMPLEX,SARPY HILLS COMPLEX,2012,8/1/2012 0:00:00,214,0900,1.000000000000000,Lightning,8/2/2012 0:00:00,215,2030,2000.000000000000000,F,45.750000000000000,-107.020600000000002,2.000000000000000,BIA,MT, , , 
1897,201504318,W-644648,FED,DOI-WFMI,BIA,USMTCRA,Crow Agency,MTCRA,Crow Agency,113, ,G6NV,HIWAY 87,MT-CRA-113,HWY 87,MT4573310834120120820,HWY 87, ,2012,8/20/2012 0:00:00,233,1344,7.000000000000000,Arson,8/24/2012 0:00:00,237,1800,1933.000000000000000,F,45.734699999999997,-108.347399999999993,9.000000000000000,TRIBAL,MT, , , 
1898,201504352,W-647083,FED,DOI-WFMI,BLM,USMTDFD,Dillon Field Office,MTDFD,Dillon Field Office, , ,GY94,BEAR TRAP 2,MT-BDF-000020,Bear Trap 2,MT4561311155520120625,BEAR TRAP 2, ,2012,6/25/2012 0:00:00,177,1152,10.000000000000000,Fireworks,7/6/2012 0:00:00,188,2000,15341.000000000000000,G,45.612800000000000,-111.555000000000007,1.000000000000000,BLM,MT,Madison,057,Madison
1899,201415724,TFS-TXFD2011-331728,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Muleshoe VFD, ,331728, ,2011067, , , , , ,2011,7/5/2011 0:00:00,186, ,1.000000000000000,Lightning,,0, ,1000.000000000000000,F,34.075341000000002,-102.806882999999999,13.000000000000000,STATE OR PRIVATE,TX,Bailey,017,Bailey
1900,201416998,TFS-TXFD2011-335893,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Muleshoe VFD, ,335893, ,2011075, , , , , ,2011,7/28/2011 0:00:00,209, ,2.000000000000000,Equipment Use,,0, ,600.000000000000000,E,34.010693000000003,-102.752894999999995,13.000000000000000,STATE OR PRIVATE,TX,Bailey,017,Bailey
1901,201417020,TFS-TXFD2011-360155,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Chico VFD, ,360155, ,BRIDGEPORT WILDFIRE, , , , , ,2011,7/28/2011 0:00:00,209, ,5.000000000000000,Debris Burning,,0, ,1900.000000000000000,F,33.171667499999998,-97.759243100000006,13.000000000000000,STATE OR PRIVATE,TX,Wise,497,Wise
1902,201418319,TFS-TXFD2011-344269,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Premont VFD, ,344269, ,DCP & HORNSBY FIRE, , , , , ,2011,8/17/2011 0:00:00,229, ,5.000000000000000,Debris Burning,,0, ,1300.000000000000000,F,27.278987999999998,-98.156747999999993,13.000000000000000,STATE OR PRIVATE,TX,Jim Wells,249,Jim Wells
1903,201419773,TFS-TXFD2011-356482,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,El Cenizo Volunteer Fire Department, ,356482, ,WILDLAND FIRE, , , , , ,2011,9/6/2011 0:00:00,249, ,2.000000000000000,Equipment Use,,0, ,600.000000000000000,E,27.487725000000001,-99.261399999999995,13.000000000000000,STATE OR PRIVATE,TX,Webb,479,Webb
1904,201419777,TFS-TXFD2011-344583,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Cotulla Vol. Fire Department, ,344583, ,TRIPLE G, , , , , ,2011,9/6/2011 0:00:00,249, ,5.000000000000000,Debris Burning,,0, ,800.000000000000000,E,28.165243000000000,-98.906479000000004,13.000000000000000,STATE OR PRIVATE,TX,La Salle,283,La Salle
1905,201430835,FS-1510191,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,033,1706-09,EKT5,BLACKTAIL,ID-NPF-000223,Blacktail,ID4619011508620120721,BLACKTAIL, ,2012,7/20/2012 0:00:00,202,1422,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0557,1117.000000000000000,F,46.196388890000001,-115.087777779999996,5.000000000000000,USFS,ID,049,049,Idaho
1906,201430843,FS-1510535,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,056,1708-17,G7TB,HOT SPRINGS,ID-NPF-000394,Porcupine Complex,ID4569811508120120809,PORCUPINE COMPLEX,PORCUPINE COMPLEX,2012,8/8/2012 0:00:00,221,0800,1.000000000000000,Lightning,9/8/2012 0:00:00,252,1430,3660.000000000000000,F,45.744722220000000,-115.002777780000002,5.000000000000000,USFS,ID,049,049,Idaho
1907,201430847,FS-1510189,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,071,1706-25,EKT5,SQUARE ROCK,ID-NPF-000426,Square Rock,ID4598111500420120813,SQUARE ROCK, ,2012,8/13/2012 0:00:00,226,1458,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0559,5221.000000000000000,G,45.969166670000000,-115.000833330000006,5.000000000000000,USFS,ID,049,049,Idaho
1908,201434443,FS-1510009,FED,FS-FIRESTAT,FS,USCAPNF,Plumas National Forest,0511,Plumas National Forest,051,PNF-998,G32F,PEAK,CA-PNF-000998,Peak, , , ,2012,7/28/2012 0:00:00,210,1641,9.000000000000000,Miscellaneous,9/14/2012 0:00:00,258,1500,780.000000000000000,E,40.026666669999997,-120.415000000000006,5.000000000000000,USFS,CA,063,063,Plumas
1909,201435682,FS-1509831,FED,FS-FIRESTAT,FS,USORRSF,Rogue River-Siskiyou National Forest,0610,Rogue River-Siskiyou National Forest,012,P6EK2J,EK2J,HELLO,CA-KNF-5659,Fort Complex,CA4196012323320120805,HELLO,FORT COMPLEX,2012,8/6/2012 0:00:00,219,1330,1.000000000000000,Lightning,10/6/2012 0:00:00,280,1200,970.000000000000000,E,41.959722220000003,-123.233055559999997,5.000000000000000,USFS,CA,093,093,Siskiyou
1910,201436855,FS-1504567,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,069,14,GX5U,DAD,NC-NCF-120072,DAD, , , ,2012,6/16/2012 0:00:00,168,1530,9.000000000000000,Miscellaneous,7/6/2012 0:00:00,188,1800,21331.000000000000000,G,34.933333330000004,-77.016666670000006,5.000000000000000,USFS,NC,049,049,Craven
1911,201436867,FS-1502532,FED,FS-FIRESTAT,FS,USNCNCF,National Forests in North Carolina,0811,National Forests in North Carolina,014,02,GM79,JOE TOP,NC-NCF-120020,Joe Top,NC3522208417320120226,JOE TOP, ,2012,2/26/2012 0:00:00,57,2000,9.000000000000000,Miscellaneous,2/28/2012 0:00:00,59,1900,725.000000000000000,E,35.221666669999998,-84.172777780000004,5.000000000000000,USFS,NC,039,039,Cherokee
1912,201500354,W-645478,FED,DOI-WFMI,BIA,USAZCRA,Colorado River Agency,AZCRA,Colorado River Agency,1098, ,G5TX,TSOSIE 2,AZ-CRA-1210,TSOSIE 2, , , ,2012,8/10/2012 0:00:00,223,2228,9.000000000000000,Miscellaneous,8/24/2012 0:00:00,237,1800,653.000000000000000,E,33.860799999999998,-114.478600000000000,2.000000000000000,BIA,AZ, , , 
1913,201500362,W-639360,FED,DOI-WFMI,BLM,USAZCRD,Colorado River District,AZCRD,Colorado River District, , ,G17F,GRAND WASH,AZ-CRD-0893,Grand Wash Fire, , , ,2012,7/12/2012 0:00:00,194,1700,1.000000000000000,Lightning,7/15/2012 0:00:00,197,1800,798.000000000000000,E,35.975000000000001,-113.954999999999998,1.000000000000000,BLM,AZ,Mohave,015,Mohave
1914,201501687,W-648730,FED,DOI-WFMI,BIA,USCASCA,Southern California Agency,CASCA,Southern California Agency,76, ,G8RN,BIA SHOCKEY,CA-MVU-010383,Shockey,CA3264811636520120923,SHOCKEY, ,2012,9/23/2012 0:00:00,267,1214,7.000000000000000,Arson,9/26/2012 0:00:00,270,0800,2291.000000000000000,F,32.613470000000000,-116.379859999999994,2.000000000000000,BIA,CA, , , 
1915,201503071,W-639321,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office, , ,GZ23,STOCKTON,ID-IFD-012014,Stockton,ID4229911193320120628,STOCKTON, ,2012,6/28/2012 0:00:00,180,1442,2.000000000000000,Equipment Use,6/30/2012 0:00:00,182,2030,1210.000000000000000,F,42.298900000000003,-111.933300000000003,1.000000000000000,BLM,ID,Bannock,005,Bannock
1916,201503072,W-640929,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office, , ,GZ27,CHARLOTTE,ID-IFD-012013,Charlotte, , , ,2012,6/28/2012 0:00:00,180,1500,2.000000000000000,Equipment Use,7/2/2012 0:00:00,184,1800,1029.000000000000000,F,42.780000000000001,-112.405500000000004,8.000000000000000,PRIVATE,ID,Bannock,005,Bannock
1917,201503073,W-639585,FED,DOI-WFMI,BLM,USIDIFD,Idaho Falls District,IDPOD,Pocatello Field Office, , ,GZ7J,TEN MILE PASS,ID-3CN-012012,TEN MILE PASS, , , ,2012,6/29/2012 0:00:00,181,1445,2.000000000000000,Equipment Use,6/30/2012 0:00:00,182,1800,1736.000000000000000,F,42.791100000000000,-111.833299999999994,8.000000000000000,PRIVATE,ID,Caribou,029,Caribou
1918,201503093,W-639079,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G1HV,LAIDLAW,ID-TFD-000272,Laidlaw,ID4314011358620120708,LAIDLAW, ,2012,7/8/2012 0:00:00,190,1922,1.000000000000000,Lightning,7/11/2012 0:00:00,193,2000,7935.000000000000000,G,43.139699999999998,-113.585800000000006,1.000000000000000,BLM,ID,Blaine,013,Blaine
1919,201503097,W-639128,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G1XA,TRAPPER CABIN,ID-TFD-000309,Trapper Cabin,ID4294111360220120713,TRAPPER CABIN, ,2012,7/13/2012 0:00:00,195,1212,1.000000000000000,Lightning,7/14/2012 0:00:00,196,1800,6558.000000000000000,G,42.941099999999999,-113.602199999999996,1.000000000000000,BLM,ID,Minidoka,067,Minidoka
1920,201503099,W-640007,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G29G,OWINZA,ID-TFD-000357,Owinza,ID4282311405220120722,OWINZA, ,2012,7/22/2012 0:00:00,204,1646,1.000000000000000,Lightning,7/24/2012 0:00:00,206,1900,34507.000000000000000,G,42.822800000000001,-114.051699999999997,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
1921,201503105,W-641010,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G3S5,SID CROSSING,ID-TFD-000377,Sid Crossing,ID4290811399520120726,SID CROSSING, ,2012,7/26/2012 0:00:00,208,2239,1.000000000000000,Lightning,7/29/2012 0:00:00,211,2000,20784.000000000000000,G,42.908900000000003,-113.995000000000005,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
1922,201503107,W-642094,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G40J,FLAT TOP 2,ID-TFD-000424,Flat Top 2,ID4295911374920120805,FLAT TOP 2, ,2012,8/5/2012 0:00:00,218,2223,1.000000000000000,Lightning,8/13/2012 0:00:00,226,1700,140954.000000000000000,G,42.959400000000002,-113.749700000000004,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
1923,201504386,W-646153,FED,DOI-WFMI,BIA,USMTFBA,Fort Belknap Agency,MTFBA,Fort Belknap Agency,87, ,G8C4,WELDER,MT-FBA-00087,Welder,MT4832310864920120914,WELDER, ,2012,9/14/2012 0:00:00,258,1255,9.000000000000000,Miscellaneous,9/19/2012 0:00:00,263,1700,33318.000000000000000,G,48.323099999999997,-108.650400000000005,9.000000000000000,TRIBAL,MT, , , 
1924,201504422,W-647855,FED,DOI-WFMI,BIA,USMTFHA,Flathead Agency,MTFHA,Flathead Agency,123, ,G54D,WEST GARCEAU,MT-FHA-0123,WEST GARCEAU,MT4770211449320120813,WEST GARCEAU, ,2012,8/13/2012 0:00:00,226,1748,2.000000000000000,Equipment Use,9/9/2012 0:00:00,253,1800,9864.200000000000728,G,47.701599999999999,-114.514300000000006,8.000000000000000,PRIVATE,MT, , , 
1925,201504435,W-647918,FED,DOI-WFMI,BIA,USMTFHA,Flathead Agency,MTFHA,Flathead Agency,143, ,G7A4,WHITE HORSE,MT-FHA-143,WHITE HORSE,MT4716311386320120829,WHITE HORSE, ,2012,8/29/2012 0:00:00,242,1321,1.000000000000000,Lightning,10/22/2012 0:00:00,296,1600,1212.000000000000000,F,47.163499999999999,-113.864500000000007,2.000000000000000,BIA,MT, , , 
1926,201418478,TFS-TXFD2011-364592,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Van Horn VFD, ,364592, ,KC RANCH, , , , , ,2011,8/19/2011 0:00:00,231, ,1.000000000000000,Lightning,,0, ,500.000000000000000,E,31.328180000000000,-104.375529999999998,13.000000000000000,STATE OR PRIVATE,TX,Culberson,109,Culberson
1927,201421155,TFS-TXFD2011-356679,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Snyder Volunteer Fire Dept., ,356679, ,CR 3195, , , , , ,2011,9/29/2011 0:00:00,272, ,9.000000000000000,Miscellaneous,,0, ,600.000000000000000,E,32.588563499999999,-101.087953200000001,13.000000000000000,STATE OR PRIVATE,TX,Scurry,415,Scurry
1928,201421171,TFS-TXFD2011-366900,NONFED,ST-TXTXS,ST/C&L,USTXTXS,Texas A & M Forest Service,TXVFD,Wilson VFD, ,366900, ,COUNTY FARM 2, , , , , ,2011,9/29/2011 0:00:00,272, ,9.000000000000000,Miscellaneous,,0, ,500.000000000000000,E,33.377558999999998,-101.851500999999999,13.000000000000000,STATE OR PRIVATE,TX,Lynn,305,Lynn
1929,201430855,FS-1510391,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,089,1701-22,G7VJ,SHEEP,ID-NPF-000604,Sheep,ID4553411629920120906,SHEEP, ,2012,9/6/2012 0:00:00,250,1133,9.000000000000000,Miscellaneous,10/25/2012 0:00:00,299,1800,48626.000000000000000,G,45.534166669999998,-116.297499999999999,5.000000000000000,USFS,ID,049,049,Idaho
1930,201430857,FS-1510111,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,040,1706-15,EKT5,PETTIBONE,ID-NPF-000290,Pettibone,ID4606011473320120728,PETTIBONE, ,2012,7/28/2012 0:00:00,210,1430,1.000000000000000,Lightning,10/25/2012 0:00:00,299,1400,15569.000000000000000,G,46.060833330000001,-114.733055559999997,5.000000000000000,USFS,ID,049,049,Idaho
1931,201430866,FS-1510531,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,085,1708-38,G64M,BAGLEY,ID-NPF-00531,McGuire Complex,ID4559711556320120827,MCGUIRE COMPLEX,MCGUIRE COMPLEX,2012,8/28/2012 0:00:00,241,1300,1.000000000000000,Lightning,10/29/2012 0:00:00,303,0900,1800.000000000000000,F,45.625833329999999,-115.401388890000007,5.000000000000000,USFS,ID,049,049,Idaho
1932,201430868,FS-1510190,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,068,1706-23,EKT5,MOE,ID-NPF-000412,Moe,ID4607011453320120811,MOE, ,2012,8/11/2012 0:00:00,224,1534,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0559,2592.000000000000000,F,46.070833329999999,-114.533055559999994,5.000000000000000,USFS,ID,049,049,Idaho
1933,201430870,FS-1510500,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,065,1708-26,G7TB,PORCUPINE,ID-NPF-000394,Porcupine Complex,ID4569811508120120809,PORCUPINE COMPLEX,PORCUPINE COMPLEX,2012,8/10/2012 0:00:00,223,1100,1.000000000000000,Lightning,10/29/2012 0:00:00,303,0900,839.000000000000000,E,45.694722220000003,-115.067777780000000,5.000000000000000,USFS,ID,049,049,Idaho
1934,201430871,FS-1510198,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,091,1706-31,EKT5,WEST TROUT,ID-NPF-000652,West Trout,ID4616011488520120910,WEST TROUT, ,2012,9/10/2012 0:00:00,254,1501,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0559,2325.000000000000000,F,46.161111110000000,-114.885833329999997,5.000000000000000,USFS,ID,049,049,Idaho
1935,201430883,FS-1510187,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,053,1706-22,EKT5,MOOSE RIDGE,ID-NPF-000369,Moose  Ridge,ID4606011494620120808,MOOSE  RIDGE, ,2012,8/8/2012 0:00:00,221,1512,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0550,1205.000000000000000,F,46.066388889999999,-114.940833330000004,5.000000000000000,USFS,ID,049,049,Idaho
1936,201430884,FS-1510201,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,087,1706-29,EKT5,TROUT PEAK,ID-NPF-000565,Trout Peak,ID4616011488520120910,WEST TROUT, ,2012,9/1/2012 0:00:00,245,0928,1.000000000000000,Lightning,,0, ,717.000000000000000,E,46.156666670000000,-114.853055560000001,5.000000000000000,USFS,ID,049,049,Idaho
1937,201430886,FS-1510185,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,052,1706-21,G52V,VISTA,ID-NPF-000355,Vista,ID4615011493120120808,VISTA, ,2012,8/8/2012 0:00:00,221,1600,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0550,8708.000000000000000,G,46.150833329999998,-114.933055560000000,5.000000000000000,USFS,ID,049,049,Idaho
1938,201430887,FS-1510529,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,083,1708-37,G64M,MCGUIRE,ID-NPF-00531,McGuire Complex,ID4559711556320120827,MCGUIRE COMPLEX,MCGUIRE COMPLEX,2012,8/28/2012 0:00:00,241,1200,1.000000000000000,Lightning,10/29/2012 0:00:00,303,0900,43577.000000000000000,G,45.594444439999997,-115.551111109999994,5.000000000000000,USFS,ID,049,049,Idaho
1939,201430889,FS-1510393,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,038,1706-13,G42D,DITCH,ID-NPF-000287,Ditch,ID4597711487820120728,DITCH, ,2012,7/28/2012 0:00:00,210,1313,1.000000000000000,Lightning,,0, ,12000.000000000000000,G,46.003333329999997,-114.878611109999994,5.000000000000000,USFS,ID,049,049,Idaho
1940,201430900,FS-1510202,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,090,1706-30,EKT5,BELL POINT,ID-NPF-000567,Bell Point,ID4623111474920121026,BELL POINT,POWELL SBW COMPLEX,2012,9/1/2012 0:00:00,245,0945,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0559,1050.000000000000000,F,46.230555559999999,-114.749444440000005,5.000000000000000,USFS,ID,049,049,Idaho
1941,201430905,FS-1510196,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,078,1706-27,EKT5,SHASTA LAKE,ID-NPF-000497,Shasta Lake,ID4629311515620120825,CLIFF,CLIFF COMPLEX,2012,8/23/2012 0:00:00,236,1522,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0554,579.000000000000000,E,46.261666669999997,-115.183055560000000,5.000000000000000,USFS,ID,049,049,Idaho
1942,201430910,FS-1510192,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,034,1706-10,EKT5,THREE LINKS,ID-NPF-000227,3 Links,ID4619311517320120720,3 LINKS, ,2012,7/21/2012 0:00:00,203,1441,1.000000000000000,Lightning,10/25/2012 0:00:00,299,0600,3250.000000000000000,F,46.185000000000002,-115.167500000000004,5.000000000000000,USFS,ID,049,049,Idaho
1943,201430911,FS-1510534,FED,FS-FIRESTAT,FS,USIDNCF,Nez Perce - Clearwater National Forests,0117,Nezperce National Forest,054,1708-15,G7TB,BLEAK,ID-NPF-000394,Porcupine Complex,ID4569811508120120809,PORCUPINE COMPLEX,PORCUPINE COMPLEX,2012,8/8/2012 0:00:00,221,1200,1.000000000000000,Lightning,10/29/2012 0:00:00,303,0900,23700.000000000000000,G,45.692500000000003,-115.033611109999995,5.000000000000000,USFS,ID,049,049,Idaho
1944,201432034,FS-1502702,FED,FS-FIRESTAT,FS,USNMCIF,Cibola National Forest,0303,Cibola National Forest,001,001,GN7S,GILLEMWATER, , ,TX3640110222320120225,GILLEMWATER, ,2012,2/25/2012 0:00:00,56,1315,5.000000000000000,Debris Burning,2/25/2012 0:00:00,56,1730,1150.000000000000000,F,36.401111110000002,-102.223333330000003,14.000000000000000,MISSING/NOT SPECIFIED,TX,111,111,Dallam
1945,201433258,FS-1510113,FED,FS-FIRESTAT,FS,USUTMLF,Manti-Lasal National Forest,0410,Manti-Lasal National Forest,009,UTMLF-2129,GZN4,SEELEY,UT-MLF-002129,Seeley,UT3949911117520120626,SEELEY, ,2012,6/26/2012 0:00:00,178,0530,1.000000000000000,Lightning,8/2/2012 0:00:00,215,1800,48986.000000000000000,G,39.498611109999999,-111.176111109999994,5.000000000000000,USFS,UT,015,015,Emery
1946,201433292,FS-1506470,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,038,038,G4QG,GRIZZLY,ID-PAF-012053,Grizzly, , , ,2012,8/3/2012 0:00:00,216,1425,9.000000000000000,Miscellaneous,8/13/2012 0:00:00,226,1454,823.000000000000000,E,44.667499999999997,-116.647777779999998,14.000000000000000,MISSING/NOT SPECIFIED,ID,087,087,Washington
1947,201433296,FS-1506451,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,003,003,G0NZ,LONE PINE,ID-PAF-012014,Lone Pine,ID4470011705020120703,LONE PINE, ,2012,7/3/2012 0:00:00,185,1648,9.000000000000000,Miscellaneous,7/3/2012 0:00:00,185,1740,2801.000000000000000,F,44.700000000000003,-117.049444440000002,5.000000000000000,USFS,ID,087,087,Washington
1948,201433317,FS-1510528,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,057,057,G70E,WESLEY,ID-PAF-012076,Wesley,ID4509211653520120909,WESLEY, ,2012,9/9/2012 0:00:00,253,0727,1.000000000000000,Lightning,10/25/2012 0:00:00,299,1400,16010.000000000000000,G,45.106388889999998,-116.505277780000000,5.000000000000000,USFS,ID,003,003,Adams
1949,201433324,FS-1506436,FED,FS-FIRESTAT,FS,USIDPAF,Payette National Forest,0412,Payette National Forest,028,028,G2WH,ROADSIDE,ID-PAF-012043,Roadside,ID4444611680020120720,ROADSIDE, ,2012,7/20/2012 0:00:00,202,1037,9.000000000000000,Miscellaneous,7/20/2012 0:00:00,202,1052,2103.000000000000000,F,44.443333330000002,-116.800555560000006,13.000000000000000,STATE OR PRIVATE,ID,087,087,Washington
1950,201435804,FS-1506235,FED,FS-FIRESTAT,FS,USORWWF,Wallowa-Whitman National Forest,0616,Wallowa-Whitman National Forest,032,742,G6PE,CACHE CREEK,OR-WWF-000742,Cache Creek,OR4598611692820120820,CACHE CREEK, ,2012,8/20/2012 0:00:00,233,1940,1.000000000000000,Lightning,11/5/2012 0:00:00,310,1520,73582.000000000000000,G,45.986388890000001,-116.928333330000001,5.000000000000000,USFS,OR,063,063,Wallowa
1951,201500441,W-635793,FED,DOI-WFMI,BIA,USAZFTA,Fort Apache Agency,AZFTA,Fort Apache Agency,60, ,GT9J,BULL FLAT,AZ-FTA-0060,Bull Flat Fire,AZ3423111078220120510,BULL FLAT FIRE, ,2012,5/10/2012 0:00:00,131,1013,1.000000000000000,Lightning,6/24/2012 0:00:00,176,1700,2145.000000000000000,F,34.243099999999998,-110.779700000000005,2.000000000000000,BIA,AZ, , , 
1952,201501743,W-649615,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,YOSEMITE NATIONAL PARK,1473, ,GX36,CASCADE,CA-YNP-1473,Cascade,CA3776911967520120616,CASCADE, ,2012,6/16/2012 0:00:00,168,0839,1.000000000000000,Lightning,11/28/2012 0:00:00,333,0800,1705.000000000000000,F,37.769539999999999,-119.675299999999993,3.000000000000000,NPS,CA, , , 
1953,201501786,W-648469,FED,DOI-WFMI,BLM,USCORGD,Royal Gorge Field Office,COCCD,Front Range Center, , ,G91K,WETMORE,CO-CUX-001403,Wetmore,CO3817710507320121023,WETMORE, ,2012,10/23/2012 0:00:00,297,1310,7.000000000000000,Arson,11/13/2012 0:00:00,318,1500,1998.000000000000000,F,38.206899999999997,-105.098600000000005,8.000000000000000,PRIVATE,CO,Custer,027,Custer
1954,201503108,W-642104,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G40K,SHALE BUTTE,ID-TFD-000427,Shale Butte,ID4295911379120120805,SHALE BUTTE, ,2012,8/5/2012 0:00:00,218,2331,1.000000000000000,Lightning,8/6/2012 0:00:00,219,1500,1900.000000000000000,F,42.959699999999998,-113.791899999999998,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
1955,201503112,W-642745,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G5DV,HIGHWAY 30,ID-TFD-000439,Highway 30,ID4296311508420120808,HIGHWAY 30, ,2012,8/8/2012 0:00:00,221,0831,1.000000000000000,Lightning,8/10/2012 0:00:00,223,1300,1888.000000000000000,F,42.963299999999997,-115.084699999999998,1.000000000000000,BLM,ID,Gooding,047,Gooding
1956,201503116,W-642747,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G6DN,NOTCH BUTTE,ID-TFD-000475,Notch Butte,ID4287011443220120816,NOTCH BUTTE, ,2012,8/16/2012 0:00:00,229,1655,2.000000000000000,Equipment Use,8/17/2012 0:00:00,230,1800,1720.000000000000000,F,42.869700000000002,-114.432199999999995,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
1957,201503122,W-644185,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,G7FH,INTERSTATE 84 MM177,ID-TFD-000531,Interstate 84 MM 177,ID4261611436020120831,INTERSTATE 84 MM177, ,2012,8/31/2012 0:00:00,244,1703,1.000000000000000,Lightning,9/1/2012 0:00:00,245,1900,1777.000000000000000,F,42.615600000000001,-114.359999999999999,1.000000000000000,BLM,ID,Jerome,053,Jerome
